"Id","dow_number","day_of_week","part_of_week","time_of_day","total_calories","total_intensity","total_average_intensity","average_intensity","max_intensity","min_intensity"
1644430081,3,"Wednesday","Weekday","Evening",1009500,127440,2124.0007079997677,0.250000083333306,2.166667,0
1644430081,3,"Wednesday","Weekday","Night",3196750,18408,306.80047199998944,0.011403526315789081,0.083333,0
1644430081,4,"Thursday","Weekday","Night",2692000,104784,1746.4002359998653,0.07708334374999405,1.016667,0
1644430081,4,"Thursday","Weekday","Evening",1009500,300192,5003.19952800035,0.5888888333333746,1.15,0.05
1644430081,4,"Thursday","Weekday","Afternoon",2019000,157176,2619.599999999631,0.15416666666664497,0.75,0
1644430081,4,"Thursday","Weekday","Morning",2355500,65136,1085.6011800001,0.054761964285719326,0.216667,0
1644430081,5,"Friday","Weekday","Evening",1009500,75048,1250.799527999952,0.14722216666666102,0.483333,0
1644430081,5,"Friday","Weekday","Morning",2355500,141600,2360.001888000116,0.11904771428572014,0.583333,0
1644430081,5,"Friday","Weekday","Afternoon",2019000,235764,3929.400708000475,0.2312500416666946,0.65,0
1644430081,5,"Friday","Weekday","Night",2692000,126024,2100.399527999919,0.09270831249999642,0.683333,0
1644430081,6,"Saturday","Weekend","Evening",1009500,284616,4743.600707999782,0.5583334166666409,1.35,0.066667
1644430081,6,"Saturday","Weekend","Night",2692000,83544,1392.4009439998154,0.06145837499999185,0.7,0
1644430081,6,"Saturday","Weekend","Afternoon",2019000,474360,7906.000943999578,0.4652778333333085,1.633333,0
1644430081,6,"Saturday","Weekend","Morning",2355500,297360,4955.9992919997085,0.24999996428569957,1.05,0
1844505072,0,"Sunday","Weekend","Morning",1363068,0,0,0,0,0
1844505072,0,"Sunday","Weekend","Afternoon",1168344,101609,1693.482845999974,0.09652774999999851,0.833333,0
1844505072,0,"Sunday","Weekend","Evening",584172,44591,743.183576999987,0.08472224999999853,0.383333,0
1844505072,0,"Sunday","Weekend","Night",1557792,80410,1340.1671539999313,0.057291687499997065,0.65,0
1844505072,1,"Monday","Weekday","Morning",1363068,41667,694.4499999999903,0.033928571428570954,0.283333,0
1844505072,1,"Monday","Weekday","Afternoon",1168344,29971,499.51715399998636,0.028472249999999224,0.4,0
1844505072,1,"Monday","Weekday","Night",1557792,52632,877.2000000000137,0.03750000000000059,0.733333,0
1844505072,1,"Monday","Weekday","Evening",584172,51901,865.0164229999651,0.09861108333332935,0.6,0
1844505072,2,"Tuesday","Weekday","Afternoon",1460430,146931,2448.850000000235,0.11166666666667738,0.533333,0
1844505072,2,"Tuesday","Weekday","Morning",1703835,141814,2363.5664229998924,0.09238094285713866,0.616667,0
1844505072,2,"Tuesday","Weekday","Evening",730215,73100,1218.332845999949,0.11111106666666203,0.4,0
1844505072,2,"Tuesday","Weekday","Night",1947240,27778,462.9671540000096,0.01583335000000033,0.333333,0
1844505072,3,"Wednesday","Weekday","Morning",1703835,79679,1327.9835769998977,0.05190477142856743,0.483333,0
1844505072,3,"Wednesday","Weekday","Night",1947240,24123,402.050730999994,0.013750024999999796,0.366667,0
1844505072,3,"Wednesday","Weekday","Afternoon",1460430,94299,1571.6507310002498,0.0716667000000114,0.45,0
1844505072,3,"Wednesday","Weekday","Evening",730215,48246,804.0999999999774,0.07333333333333127,0.433333,0
1844505072,4,"Thursday","Weekday","Night",1849878,70176,1169.6007310000991,0.04210528947368778,0.45,0
1844505072,4,"Thursday","Weekday","Afternoon",1168344,316523,5275.38430799986,0.300694499999992,0.583333,0
